JOBID    NAME         ST   USER       QOS                  ACCOUNT              GROUP      PARTITION            PRIORITY   NODES TIME_LIMIT  TIME_LEFT   NODELIST(REASON)
5844225  Band2_Ga2O3  R    u1422298   aksamija-np          aksamija-np          aksamija   aksamija-np          100000     1     3-00:00:00  2-10:15:57  notch364
5844206  ph_Ga2O3     R    u1422298   aksamija-np          aksamija-np          aksamija   aksamija-np          100000     1     8-08:00:00  7-18:10:09  notch363
5843918  np-TFPMDS640 R    u1212375   bedrov-np            bedrov-np            bedrov     bedrov-np            100000     1     4-00:00:00  3-08:13:10  notch120
5843916  np-TFPMDS640 R    u1212375   bedrov-np            bedrov-np            bedrov     bedrov-np            100000     1     4-00:00:00  3-08:12:28  notch123
5843914  np-TFPMDS640 R    u1212375   bedrov-np            bedrov-np            bedrov     bedrov-np            100000     1     4-00:00:00  3-08:11:44  notch122
5843844  3D_opt       R    u6045716   boldyrev-np          boldyrev-np          boldyrev   boldyrev-np          100641     1     3-00:00:00  2-07:49:59  notch071
5834254  c100p        PD   u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100107     1     2-00:00:00  2-00:00:00  (Resources)
5732108  ubq_3        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100106     1     3-00:00:00  3-00:00:00  (Priority)
5834836  NMR-re-repli PD   u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100106     1     2-00:00:00  2-00:00:00  (Priority)
5834949  NMR-re-repli PD   u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100100     1     2-00:00:00  2-00:00:00  (Priority)
5835207  NMR-re-repli PD   u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100087     1     2-00:00:00  2-00:00:00  (Priority)
5732109  ubq_4        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100077     1     3-00:00:00  3-00:00:00  (Priority)
5840712  m4C-rst5.1   PD   u0950975   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100061     1     2-00:00:00  2-00:00:00  (Priority)
5839668  m4C-rst15.1  PD   u0950975   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100061     1     2-00:00:00  2-00:00:00  (Priority)
5839667  44C-rst15.3  PD   u0950975   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100061     1     2-00:00:00  2-00:00:00  (Priority)
5839665  44C-rst15.2  PD   u0950975   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100061     1     2-00:00:00  2-00:00:00  (Priority)
5835504  NMR-re-repli PD   u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100057     1     2-00:00:00  2-00:00:00  (Priority)
5842190  m4C-rst5.2   PD   u0950975   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100052     1     2-00:00:00  2-00:00:00  (Priority)
5839664  NMR-re-repli PD   u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100050     1     2-00:00:00  2-00:00:00  (Priority)
5732110  ubq_5        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100044     1     3-00:00:00  3-00:00:00  (Priority)
5835855  g10p2        PD   u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100042     1     2-00:00:00  2-00:00:00  (Priority)
5732112  ubq_1        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100040     1     3-00:00:00  3-00:00:00  (Priority)
5732113  ubq_2        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100034     1     3-00:00:00  3-00:00:00  (Priority)
5836266  c1p3         PD   u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100027     1     2-00:00:00  2-00:00:00  (Priority)
5732203  ubq_5        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732202  ubq_4        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732201  ubq_3        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732200  ubq_2        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732199  ubq_1        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732197  ubq_5        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732196  ubq_4        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732195  ubq_3        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732194  ubq_2        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732193  ubq_1        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732191  ubq_5        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732190  ubq_4        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732189  ubq_3        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732188  ubq_2        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732187  ubq_1        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
